date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:34:20	0/0	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20May%202019%2021:34:20%20GMT	https://chefmasters.com.br/%22https://www.googletagmanager.com/gtag/js?id=UA-137755849-1\%22	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/_https_/www.googletagmanager.com/gtag/js1d62.html	(from https://chefmasters.com.br/)
18:34:20	7200/7200	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494c-1c20%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-migrate/1.2.1/jquery-migrate.min.js	C:/My%20Web%20Sites/https___chefmasters.com.br_/cdnjs.cloudflare.com/ajax/libs/jquery-migrate/1.2.1/jquery-migrate.min.js	(from https://chefmasters.com.br/)
18:34:20	36868/36868	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	C:/My%20Web%20Sites/https___chefmasters.com.br_/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	(from https://chefmasters.com.br/)
18:34:20	7448/7448	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494d-1d18%22	https://cdnjs.cloudflare.com/ajax/libs/jquery.mask/1.14.10/jquery.mask.min.js	C:/My%20Web%20Sites/https___chefmasters.com.br_/cdnjs.cloudflare.com/ajax/libs/jquery.mask/1.14.10/jquery.mask.min.js	(from https://chefmasters.com.br/)
18:34:21	389621/389621	---MC-	200	added ('OK')	text/javascript	date:Thu,%2027%20Jul%202017%2022:34:38%20GMT	https://www.gstatic.com/firebasejs/4.2.0/firebase.js	C:/My%20Web%20Sites/https___chefmasters.com.br_/www.gstatic.com/firebasejs/4.2.0/firebase.js	(from https://chefmasters.com.br/)
18:34:22	7006/7006	---M--	200	added ('OK')	image/png	etag:%2257d97c08-1b5e%22	http://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_444444_256x240.png	C:/My%20Web%20Sites/https___chefmasters.com.br_/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_444444_256x240.png	(from http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
18:34:23	7001/7001	---M--	200	added ('OK')	image/png	etag:%2257d97c08-1b59%22	http://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_555555_256x240.png	C:/My%20Web%20Sites/https___chefmasters.com.br_/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_555555_256x240.png	(from http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
18:34:23	34781/34781	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4864-87dd%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap-slider/10.0.0/bootstrap-slider.min.js	C:/My%20Web%20Sites/https___chefmasters.com.br_/cdnjs.cloudflare.com/ajax/libs/bootstrap-slider/10.0.0/bootstrap-slider.min.js	(from https://chefmasters.com.br/)
18:34:23	6313/6313	---M--	200	added ('OK')	image/png	etag:%2257d97c08-18a9%22	http://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_ffffff_256x240.png	C:/My%20Web%20Sites/https___chefmasters.com.br_/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_ffffff_256x240.png	(from http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
18:34:23	4632/4632	---M--	200	added ('OK')	image/png	etag:%2257d97c08-1218%22	http://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777620_256x240.png	C:/My%20Web%20Sites/https___chefmasters.com.br_/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777620_256x240.png	(from http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
